1	1	Deposit	100.00	1	2019-03-10T01:45:46.826	0	false   false
2	1	Withdrawal	5000.00	4	2019-03-10T01:46:23.186	0	false   false
1	1	Deposit	-100.00	1	2019-03-19T22:21:35.562	0	true	true
3	1	Deposit	100.00	2	2019-03-21T17:02:36.854	0	true	false
4	1	Deposit	20.00	1	2019-03-21T17:07:34.737	0	true	false
5	1	Deposit	35.00	1	2019-03-21T17:25:23.872	0	true	false
6	1	Deposit	5.00	1	2019-03-21T17:30:04.248	0	true	false
7	1	Deposit	5.00	1	2019-03-21T21:29:02.631	0	true	false
8	1	Deposit	5.00	1	2019-03-21T21:31:34.758	0	true	false
9	1	Deposit	5.00	1	2019-03-21T21:32:08.014	0	true	false
10	1	Deposit	5.00	1	2019-03-21T21:40:45.751	0	true	false
11	1	Deposit	5.00	1	2019-03-21T21:42:06.843	0	true	false
12	1	Deposit	5.00	1	2019-03-21T21:42:20.254	0	true	false
13	1	Deposit	8.00	3	2019-03-21T21:45:57.965	0	true	false
14	1	Deposit	3.00	1	2019-03-21T21:48:28.358	0	true	false
15	1	Deposit	2.00	1	2019-03-21T21:51:49.135	0	true	false
16	1	Deposit	2.00	1	2019-03-21T21:52:49.319	0	true	false
17	1	Deposit	3.00	1	2019-03-21T21:53:12.463	0	true	false
18	1	Deposit	1.00	1	2019-03-21T22:25:12.360	0	true	false
19	1	Deposit	4.00	1	2019-03-21T23:13:36.001	0	true	false
20	1	Withdrawal	5.00	1	2019-03-21T23:14:03.945	0	true	false
21	1	Withdrawal	10.00	3	2019-03-21T23:42:40.634	0	true	false
22	1	TransferIn	200.00	2	2019-03-22T23:05:52.599	2	true	false
23	1	PayBill	2.00	2	2019-03-23T10:53:37.013	1111	false	false
24	1	PayBill	3.00	2	2019-03-23T10:54:05.934	1111	false	false
26	1	Withdrawal	5.00	2	2019-03-26T17:30:00.929	0	true	false
27	1	Deposit	150.00	1	2019-03-26T17:31:52.177	0	true	false
29	1	Withdrawal	5.00	1	2019-03-26T17:32:20.225	0	true	false
30	1	Withdrawal	10.00	1	2019-03-26T17:35:30.640	0	true	false
31	1	Deposit	3000.00	8	2019-03-30T14:40:36.418	0	true	false
32	1	Withdrawal	10.00	1	2019-03-30T15:45:21.185	0	true	false
33	3	Deposit	45.00	9	2019-03-31T17:02:27.801	0	true	false
34	3	Deposit	19.86	9	2019-03-31T17:02:44.804	0	false	false
22	1	TransferIn	-200.00	2	2019-04-01T02:56:56.757	2	true	true
18	1	Deposit	-1.00	1	2019-04-01T02:57:03.803	0	true	true
